T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24,T25,T26
plan,plan,consensus,plan,monitor,discuss,adapt,emotion,discuss,consensus,plan,consensus,plan,plan,plan,consensus,discuss,consensus,monitor,discuss,discuss,discuss,consensus,,,
discuss,coregulate,emotion,monitor,synthesis,adapt,consensus,plan,plan,plan,plan,discuss,coregulate,emotion,consensus,monitor,,,,,,,,,,
consensus,coregulate,discuss,monitor,coregulate,coregulate,discuss,coregulate,discuss,consensus,plan,consensus,plan,discuss,adapt,emotion,,,,,,,,,,
emotion,consensus,plan,emotion,cohesion,consensus,plan,plan,plan,plan,discuss,discuss,discuss,adapt,consensus,,,,,,,,,,,
consensus,plan,plan,consensus,consensus,coregulate,discuss,discuss,,,,,,,,,,,,,,,,,,
emotion,plan,plan,plan,plan,consensus,coregulate,plan,plan,plan,,,,,,,,,,,,,,,,
plan,discuss,synthesis,cohesion,consensus,coregulate,discuss,adapt,consensus,plan,consensus,coregulate,consensus,plan,plan,plan,emotion,cohesion,plan,emotion,plan,plan,plan,discuss,,
monitor,consensus,plan,discuss,discuss,adapt,consensus,plan,plan,monitor,cohesion,discuss,consensus,plan,plan,consensus,consensus,plan,plan,monitor,cohesion,consensus,discuss,,,
coregulate,discuss,coregulate,discuss,synthesis,consensus,discuss,consensus,monitor,plan,consensus,consensus,plan,,,,,,,,,,,,,
plan,plan,consensus,coregulate,consensus,plan,emotion,cohesion,plan,plan,consensus,coregulate,plan,emotion,consensus,,,,,,,,,,,
emotion,consensus,discuss,synthesis,coregulate,plan,plan,consensus,coregulate,discuss,,,,,,,,,,,,,,,,
consensus,plan,plan,consensus,coregulate,discuss,emotion,consensus,emotion,consensus,plan,plan,plan,consensus,plan,consensus,,,,,,,,,,
consensus,coregulate,discuss,synthesis,discuss,consensus,emotion,plan,plan,plan,plan,plan,plan,emotion,,,,,,,,,,,,
adapt,cohesion,consensus,plan,monitor,discuss,consensus,discuss,,,,,,,,,,,,,,,,,,
consensus,discuss,discuss,consensus,plan,plan,plan,consensus,emotion,consensus,plan,plan,plan,consensus,coregulate,consensus,coregulate,discuss,consensus,consensus,,,,,,
discuss,discuss,adapt,cohesion,consensus,plan,consensus,coregulate,emotion,plan,plan,plan,consensus,plan,discuss,coregulate,discuss,,,,,,,,,
discuss,consensus,plan,consensus,plan,emotion,consensus,coregulate,consensus,consensus,monitor,cohesion,consensus,plan,monitor,discuss,synthesis,discuss,plan,plan,consensus,emotion,cohesion,discuss,discuss,
consensus,coregulate,plan,emotion,discuss,monitor,discuss,consensus,plan,,,,,,,,,,,,,,,,,
plan,consensus,plan,plan,consensus,plan,plan,plan,consensus,coregulate,emotion,consensus,coregulate,discuss,synthesis,coregulate,plan,plan,plan,consensus,emotion,cohesion,plan,consensus,emotion,cohesion
consensus,monitor,,,,,,,,,,,,,,,,,,,,,,,,
emotion,cohesion,coregulate,consensus,coregulate,discuss,consensus,emotion,consensus,plan,plan,,,,,,,,,,,,,,,
discuss,coregulate,discuss,adapt,emotion,consensus,plan,plan,plan,plan,discuss,consensus,,,,,,,,,,,,,,
plan,plan,monitor,plan,consensus,monitor,consensus,plan,plan,discuss,synthesis,consensus,coregulate,plan,consensus,monitor,discuss,consensus,plan,plan,plan,emotion,cohesion,emotion,,
plan,plan,consensus,plan,emotion,cohesion,consensus,emotion,consensus,plan,plan,consensus,consensus,plan,consensus,,,,,,,,,,,
plan,monitor,emotion,consensus,consensus,consensus,monitor,plan,plan,plan,plan,,,,,,,,,,,,,,,
consensus,plan,emotion,coregulate,discuss,emotion,emotion,cohesion,discuss,emotion,,,,,,,,,,,,,,,,
monitor,cohesion,emotion,,,,,,,,,,,,,,,,,,,,,,,
cohesion,consensus,discuss,coregulate,discuss,discuss,consensus,coregulate,plan,emotion,consensus,plan,consensus,,,,,,,,,,,,,
emotion,emotion,consensus,plan,,,,,,,,,,,,,,,,,,,,,,
monitor,discuss,discuss,discuss,discuss,consensus,plan,plan,consensus,coregulate,emotion,cohesion,discuss,consensus,plan,plan,consensus,plan,monitor,consensus,plan,,,,,
plan,consensus,plan,plan,consensus,emotion,consensus,plan,emotion,consensus,,,,,,,,,,,,,,,,
plan,plan,,,,,,,,,,,,,,,,,,,,,,,,
plan,plan,consensus,coregulate,plan,consensus,adapt,cohesion,plan,plan,,,,,,,,,,,,,,,,
plan,monitor,discuss,adapt,monitor,discuss,monitor,plan,emotion,cohesion,emotion,cohesion,,,,,,,,,,,,,,
plan,consensus,coregulate,coregulate,monitor,consensus,plan,emotion,consensus,coregulate,discuss,consensus,,,,,,,,,,,,,,
consensus,cohesion,consensus,discuss,consensus,coregulate,discuss,cohesion,consensus,coregulate,,,,,,,,,,,,,,,,
cohesion,consensus,plan,consensus,cohesion,consensus,discuss,discuss,consensus,monitor,discuss,adapt,consensus,discuss,,,,,,,,,,,,
monitor,discuss,monitor,plan,consensus,plan,plan,consensus,emotion,consensus,,,,,,,,,,,,,,,,
discuss,adapt,consensus,plan,plan,plan,plan,consensus,plan,emotion,consensus,discuss,adapt,cohesion,plan,consensus,consensus,discuss,,,,,,,,
monitor,consensus,coregulate,plan,consensus,discuss,synthesis,adapt,cohesion,coregulate,consensus,consensus,emotion,consensus,emotion,emotion,cohesion,consensus,plan,plan,,,,,,
discuss,consensus,discuss,monitor,emotion,cohesion,coregulate,discuss,discuss,cohesion,consensus,coregulate,consensus,,,,,,,,,,,,,
cohesion,monitor,discuss,consensus,plan,plan,consensus,plan,monitor,monitor,discuss,monitor,discuss,adapt,plan,discuss,consensus,plan,plan,consensus,consensus,emotion,consensus,plan,plan,consensus
plan,plan,consensus,plan,monitor,discuss,discuss,coregulate,emotion,emotion,cohesion,emotion,consensus,discuss,consensus,coregulate,consensus,plan,emotion,cohesion,monitor,discuss,adapt,,,
cohesion,consensus,plan,cohesion,consensus,coregulate,discuss,synthesis,adapt,discuss,adapt,cohesion,consensus,plan,,,,,,,,,,,,
consensus,coregulate,monitor,plan,discuss,synthesis,emotion,coregulate,discuss,synthesis,monitor,synthesis,discuss,emotion,plan,consensus,plan,consensus,plan,consensus,plan,consensus,,,,
plan,emotion,cohesion,emotion,consensus,plan,plan,monitor,,,,,,,,,,,,,,,,,,
plan,consensus,plan,plan,emotion,consensus,plan,monitor,plan,plan,consensus,plan,consensus,,,,,,,,,,,,,
monitor,plan,plan,monitor,plan,consensus,consensus,coregulate,discuss,coregulate,monitor,plan,emotion,emotion,plan,consensus,cohesion,coregulate,cohesion,consensus,plan,plan,plan,plan,plan,
discuss,synthesis,consensus,plan,plan,emotion,consensus,discuss,synthesis,adapt,cohesion,consensus,consensus,plan,plan,plan,emotion,monitor,emotion,coregulate,plan,emotion,plan,plan,consensus,
plan,consensus,coregulate,cohesion,consensus,plan,monitor,coregulate,discuss,coregulate,,,,,,,,,,,,,,,,
plan,plan,plan,plan,consensus,coregulate,consensus,discuss,adapt,cohesion,,,,,,,,,,,,,,,,
emotion,consensus,plan,discuss,synthesis,discuss,emotion,cohesion,consensus,plan,consensus,discuss,consensus,coregulate,plan,plan,plan,,,,,,,,,
consensus,plan,cohesion,consensus,plan,consensus,consensus,plan,plan,plan,plan,plan,plan,consensus,plan,emotion,monitor,monitor,discuss,discuss,emotion,cohesion,emotion,cohesion,,
monitor,plan,plan,consensus,discuss,coregulate,discuss,adapt,cohesion,monitor,discuss,discuss,consensus,plan,plan,plan,consensus,discuss,discuss,,,,,,,
plan,consensus,plan,consensus,emotion,cohesion,plan,consensus,,,,,,,,,,,,,,,,,,
emotion,consensus,plan,plan,plan,plan,emotion,emotion,discuss,consensus,plan,plan,plan,discuss,adapt,discuss,coregulate,plan,plan,discuss,discuss,,,,,
discuss,discuss,discuss,consensus,plan,discuss,,,,,,,,,,,,,,,,,,,,
consensus,plan,emotion,consensus,plan,monitor,coregulate,plan,emotion,,,,,,,,,,,,,,,,,
emotion,cohesion,,,,,,,,,,,,,,,,,,,,,,,,
discuss,emotion,plan,plan,consensus,coregulate,adapt,consensus,discuss,consensus,plan,plan,monitor,consensus,monitor,discuss,synthesis,,,,,,,,,
plan,consensus,plan,consensus,discuss,emotion,emotion,cohesion,emotion,monitor,consensus,plan,plan,plan,plan,plan,emotion,emotion,cohesion,emotion,consensus,consensus,discuss,,,
monitor,discuss,emotion,consensus,emotion,consensus,discuss,discuss,discuss,emotion,consensus,plan,consensus,discuss,consensus,plan,plan,consensus,coregulate,emotion,discuss,,,,,
plan,plan,consensus,,,,,,,,,,,,,,,,,,,,,,,
plan,plan,discuss,consensus,plan,emotion,plan,plan,plan,monitor,discuss,,,,,,,,,,,,,,,
plan,emotion,consensus,coregulate,plan,plan,monitor,discuss,coregulate,discuss,consensus,plan,plan,emotion,plan,consensus,,,,,,,,,,
consensus,coregulate,discuss,consensus,plan,consensus,discuss,adapt,consensus,coregulate,monitor,plan,,,,,,,,,,,,,,
discuss,synthesis,adapt,emotion,emotion,plan,consensus,discuss,discuss,synthesis,emotion,cohesion,monitor,plan,plan,plan,plan,monitor,discuss,discuss,discuss,discuss,consensus,consensus,discuss,
coregulate,discuss,discuss,cohesion,consensus,discuss,emotion,cohesion,consensus,discuss,consensus,coregulate,cohesion,plan,consensus,discuss,synthesis,adapt,monitor,discuss,discuss,emotion,coregulate,consensus,plan,discuss
monitor,discuss,adapt,monitor,plan,monitor,discuss,synthesis,coregulate,consensus,coregulate,,,,,,,,,,,,,,,
discuss,consensus,plan,plan,plan,plan,monitor,plan,discuss,synthesis,consensus,consensus,synthesis,discuss,discuss,discuss,adapt,emotion,emotion,,,,,,,
discuss,discuss,discuss,coregulate,discuss,synthesis,emotion,cohesion,coregulate,emotion,discuss,adapt,consensus,plan,discuss,discuss,consensus,coregulate,discuss,emotion,cohesion,,,,,
consensus,plan,cohesion,emotion,plan,plan,discuss,consensus,coregulate,monitor,consensus,monitor,emotion,cohesion,discuss,coregulate,monitor,cohesion,emotion,plan,discuss,discuss,cohesion,consensus,plan,
adapt,consensus,discuss,emotion,consensus,plan,plan,plan,monitor,discuss,consensus,coregulate,,,,,,,,,,,,,,
emotion,cohesion,consensus,coregulate,discuss,coregulate,plan,consensus,plan,consensus,consensus,discuss,discuss,,,,,,,,,,,,,
monitor,plan,consensus,coregulate,plan,emotion,consensus,discuss,synthesis,adapt,,,,,,,,,,,,,,,,
emotion,coregulate,discuss,coregulate,,,,,,,,,,,,,,,,,,,,,,
synthesis,adapt,consensus,discuss,discuss,discuss,,,,,,,,,,,,,,,,,,,,
monitor,discuss,synthesis,consensus,coregulate,,,,,,,,,,,,,,,,,,,,,
plan,monitor,discuss,cohesion,emotion,cohesion,consensus,plan,emotion,consensus,discuss,plan,monitor,consensus,plan,plan,consensus,plan,consensus,discuss,emotion,,,,,
plan,consensus,coregulate,emotion,consensus,plan,discuss,consensus,monitor,cohesion,coregulate,plan,consensus,plan,plan,emotion,plan,consensus,plan,plan,plan,plan,monitor,plan,plan,consensus
emotion,cohesion,consensus,coregulate,discuss,synthesis,adapt,consensus,plan,consensus,discuss,,,,,,,,,,,,,,,
consensus,consensus,discuss,synthesis,adapt,cohesion,,,,,,,,,,,,,,,,,,,,
consensus,plan,coregulate,consensus,coregulate,discuss,discuss,cohesion,consensus,discuss,discuss,synthesis,consensus,discuss,synthesis,adapt,cohesion,consensus,emotion,,,,,,,
monitor,discuss,synthesis,emotion,cohesion,,,,,,,,,,,,,,,,,,,,,
emotion,cohesion,coregulate,discuss,emotion,plan,consensus,plan,consensus,synthesis,,,,,,,,,,,,,,,,
emotion,emotion,cohesion,plan,plan,emotion,coregulate,synthesis,emotion,,,,,,,,,,,,,,,,,
discuss,adapt,monitor,,,,,,,,,,,,,,,,,,,,,,,
plan,emotion,consensus,,,,,,,,,,,,,,,,,,,,,,,
discuss,consensus,plan,plan,emotion,cohesion,plan,cohesion,consensus,emotion,cohesion,emotion,coregulate,consensus,discuss,monitor,discuss,coregulate,emotion,monitor,discuss,,,,,
monitor,discuss,consensus,,,,,,,,,,,,,,,,,,,,,,,
monitor,adapt,consensus,consensus,plan,plan,discuss,consensus,monitor,emotion,consensus,consensus,discuss,synthesis,,,,,,,,,,,,
plan,plan,,,,,,,,,,,,,,,,,,,,,,,,
plan,plan,plan,plan,consensus,plan,,,,,,,,,,,,,,,,,,,,
monitor,discuss,emotion,plan,consensus,consensus,discuss,consensus,,,,,,,,,,,,,,,,,,
plan,consensus,plan,plan,consensus,discuss,discuss,cohesion,consensus,coregulate,discuss,consensus,monitor,plan,consensus,discuss,coregulate,plan,discuss,emotion,coregulate,plan,plan,,,
discuss,emotion,emotion,emotion,cohesion,discuss,consensus,,,,,,,,,,,,,,,,,,,
plan,consensus,,,,,,,,,,,,,,,,,,,,,,,,
cohesion,coregulate,plan,plan,consensus,plan,plan,plan,emotion,consensus,,,,,,,,,,,,,,,,
emotion,discuss,consensus,plan,plan,monitor,cohesion,plan,plan,emotion,monitor,synthesis,adapt,consensus,plan,plan,monitor,plan,plan,consensus,plan,,,,,
consensus,plan,consensus,emotion,,,,,,,,,,,,,,,,,,,,,,
discuss,discuss,discuss,coregulate,plan,emotion,consensus,,,,,,,,,,,,,,,,,,,
discuss,synthesis,coregulate,discuss,consensus,plan,plan,consensus,monitor,emotion,cohesion,coregulate,synthesis,consensus,coregulate,consensus,plan,plan,consensus,consensus,discuss,adapt,cohesion,coregulate,cohesion,
monitor,plan,plan,plan,emotion,cohesion,emotion,discuss,discuss,discuss,adapt,cohesion,,,,,,,,,,,,,,
consensus,plan,plan,plan,monitor,plan,plan,consensus,consensus,discuss,synthesis,adapt,consensus,coregulate,emotion,plan,emotion,consensus,coregulate,coregulate,plan,,,,,
plan,discuss,synthesis,adapt,cohesion,plan,plan,plan,plan,plan,consensus,coregulate,coregulate,emotion,consensus,plan,consensus,plan,monitor,plan,plan,consensus,plan,emotion,plan,plan
synthesis,adapt,consensus,coregulate,discuss,synthesis,consensus,discuss,consensus,discuss,synthesis,,,,,,,,,,,,,,,
emotion,consensus,discuss,plan,consensus,emotion,emotion,cohesion,coregulate,consensus,consensus,plan,plan,monitor,emotion,plan,cohesion,consensus,plan,consensus,cohesion,monitor,,,,
consensus,coregulate,cohesion,coregulate,synthesis,discuss,discuss,consensus,coregulate,monitor,coregulate,monitor,discuss,synthesis,consensus,discuss,emotion,cohesion,emotion,emotion,consensus,plan,discuss,synthesis,coregulate,
monitor,discuss,consensus,consensus,plan,plan,consensus,consensus,emotion,plan,emotion,monitor,plan,plan,consensus,plan,,,,,,,,,,
consensus,plan,plan,consensus,plan,,,,,,,,,,,,,,,,,,,,,
monitor,consensus,plan,plan,consensus,coregulate,plan,emotion,consensus,discuss,adapt,coregulate,cohesion,coregulate,plan,plan,discuss,,,,,,,,,
consensus,plan,discuss,discuss,consensus,plan,consensus,plan,emotion,cohesion,plan,emotion,cohesion,plan,discuss,discuss,synthesis,consensus,,,,,,,,
plan,consensus,consensus,coregulate,plan,plan,plan,emotion,consensus,plan,consensus,plan,plan,plan,emotion,cohesion,,,,,,,,,,
monitor,discuss,synthesis,cohesion,emotion,cohesion,consensus,plan,consensus,coregulate,consensus,consensus,discuss,discuss,synthesis,,,,,,,,,,,
consensus,plan,monitor,coregulate,plan,plan,plan,discuss,discuss,discuss,monitor,consensus,coregulate,,,,,,,,,,,,,
plan,discuss,discuss,discuss,consensus,coregulate,monitor,plan,plan,coregulate,discuss,consensus,monitor,plan,,,,,,,,,,,,
plan,plan,consensus,emotion,cohesion,,,,,,,,,,,,,,,,,,,,,
plan,monitor,coregulate,,,,,,,,,,,,,,,,,,,,,,,
consensus,plan,consensus,discuss,discuss,discuss,discuss,consensus,emotion,emotion,cohesion,coregulate,discuss,consensus,consensus,plan,,,,,,,,,,
plan,plan,plan,monitor,cohesion,coregulate,discuss,consensus,plan,plan,monitor,,,,,,,,,,,,,,,
plan,plan,plan,emotion,consensus,consensus,plan,monitor,discuss,cohesion,emotion,plan,consensus,cohesion,consensus,coregulate,consensus,plan,consensus,plan,plan,monitor,consensus,plan,plan,
consensus,coregulate,discuss,discuss,coregulate,discuss,discuss,,,,,,,,,,,,,,,,,,,
adapt,emotion,discuss,synthesis,adapt,monitor,discuss,discuss,discuss,consensus,plan,plan,consensus,plan,plan,consensus,monitor,discuss,consensus,coregulate,consensus,discuss,monitor,plan,plan,
discuss,consensus,plan,plan,plan,monitor,discuss,discuss,synthesis,consensus,coregulate,discuss,synthesis,consensus,plan,plan,,,,,,,,,,
adapt,consensus,synthesis,discuss,coregulate,emotion,monitor,coregulate,,,,,,,,,,,,,,,,,,
discuss,adapt,consensus,consensus,plan,monitor,discuss,emotion,coregulate,discuss,consensus,plan,emotion,cohesion,consensus,consensus,adapt,consensus,plan,plan,,,,,,
plan,emotion,coregulate,discuss,synthesis,adapt,cohesion,consensus,plan,consensus,coregulate,synthesis,consensus,coregulate,plan,emotion,consensus,plan,plan,plan,monitor,synthesis,consensus,discuss,synthesis,consensus
coregulate,discuss,consensus,plan,consensus,discuss,consensus,coregulate,emotion,consensus,plan,plan,plan,plan,discuss,consensus,plan,emotion,consensus,plan,plan,consensus,plan,consensus,,
adapt,consensus,discuss,emotion,cohesion,consensus,,,,,,,,,,,,,,,,,,,,
consensus,emotion,cohesion,plan,consensus,plan,emotion,consensus,plan,plan,plan,plan,emotion,cohesion,emotion,cohesion,consensus,plan,emotion,cohesion,consensus,emotion,consensus,plan,monitor,consensus
consensus,plan,emotion,plan,plan,emotion,,,,,,,,,,,,,,,,,,,,
plan,consensus,coregulate,discuss,discuss,consensus,coregulate,discuss,consensus,plan,plan,plan,consensus,plan,consensus,coregulate,consensus,plan,plan,plan,plan,consensus,plan,emotion,consensus,
plan,discuss,discuss,,,,,,,,,,,,,,,,,,,,,,,
monitor,plan,plan,,,,,,,,,,,,,,,,,,,,,,,
discuss,emotion,consensus,consensus,consensus,emotion,cohesion,monitor,coregulate,cohesion,consensus,plan,discuss,emotion,consensus,synthesis,consensus,discuss,discuss,monitor,cohesion,consensus,coregulate,,,
plan,plan,plan,discuss,discuss,discuss,adapt,emotion,consensus,discuss,,,,,,,,,,,,,,,,
consensus,coregulate,discuss,consensus,plan,consensus,coregulate,discuss,consensus,coregulate,,,,,,,,,,,,,,,,
emotion,emotion,plan,consensus,plan,monitor,plan,monitor,discuss,coregulate,,,,,,,,,,,,,,,,
emotion,monitor,consensus,monitor,emotion,cohesion,consensus,plan,plan,discuss,,,,,,,,,,,,,,,,
cohesion,monitor,emotion,consensus,plan,consensus,coregulate,adapt,coregulate,discuss,consensus,,,,,,,,,,,,,,,
discuss,cohesion,consensus,coregulate,plan,plan,plan,,,,,,,,,,,,,,,,,,,
consensus,discuss,discuss,synthesis,consensus,coregulate,discuss,coregulate,discuss,discuss,synthesis,plan,monitor,emotion,cohesion,consensus,plan,monitor,consensus,,,,,,,
discuss,discuss,adapt,consensus,coregulate,discuss,discuss,discuss,consensus,emotion,consensus,discuss,discuss,coregulate,discuss,adapt,consensus,plan,cohesion,consensus,discuss,coregulate,discuss,emotion,discuss,synthesis
discuss,emotion,cohesion,consensus,emotion,monitor,cohesion,discuss,emotion,cohesion,emotion,cohesion,consensus,,,,,,,,,,,,,
consensus,plan,emotion,emotion,cohesion,discuss,discuss,synthesis,plan,plan,plan,consensus,plan,plan,plan,emotion,consensus,,,,,,,,,
consensus,adapt,consensus,plan,plan,plan,plan,consensus,monitor,coregulate,discuss,discuss,consensus,plan,consensus,coregulate,,,,,,,,,,
plan,plan,plan,,,,,,,,,,,,,,,,,,,,,,,
consensus,synthesis,adapt,monitor,discuss,cohesion,consensus,discuss,discuss,discuss,adapt,cohesion,plan,plan,plan,plan,plan,consensus,coregulate,consensus,plan,plan,emotion,discuss,discuss,
discuss,adapt,,,,,,,,,,,,,,,,,,,,,,,,
monitor,discuss,discuss,adapt,consensus,coregulate,discuss,synthesis,consensus,coregulate,synthesis,discuss,consensus,coregulate,emotion,cohesion,,,,,,,,,,
discuss,coregulate,cohesion,consensus,emotion,monitor,discuss,discuss,discuss,emotion,consensus,plan,plan,plan,,,,,,,,,,,,
monitor,cohesion,coregulate,monitor,discuss,synthesis,consensus,plan,plan,plan,emotion,,,,,,,,,,,,,,,
emotion,cohesion,discuss,,,,,,,,,,,,,,,,,,,,,,,
plan,plan,,,,,,,,,,,,,,,,,,,,,,,,
consensus,coregulate,monitor,discuss,consensus,coregulate,consensus,emotion,consensus,coregulate,monitor,consensus,plan,consensus,coregulate,consensus,,,,,,,,,,
monitor,plan,discuss,adapt,consensus,emotion,consensus,coregulate,discuss,emotion,consensus,plan,consensus,coregulate,emotion,consensus,plan,consensus,coregulate,monitor,cohesion,consensus,coregulate,,,
discuss,discuss,plan,plan,consensus,coregulate,discuss,emotion,,,,,,,,,,,,,,,,,,
consensus,plan,consensus,plan,consensus,monitor,plan,emotion,discuss,consensus,coregulate,plan,consensus,plan,plan,plan,consensus,monitor,discuss,cohesion,coregulate,consensus,monitor,cohesion,consensus,
discuss,coregulate,discuss,emotion,consensus,consensus,coregulate,consensus,consensus,plan,plan,discuss,,,,,,,,,,,,,,
consensus,coregulate,plan,cohesion,consensus,plan,plan,emotion,consensus,,,,,,,,,,,,,,,,,
plan,emotion,monitor,discuss,coregulate,adapt,monitor,discuss,coregulate,plan,consensus,cohesion,emotion,plan,emotion,cohesion,consensus,consensus,emotion,,,,,,,
monitor,consensus,plan,emotion,plan,monitor,consensus,emotion,,,,,,,,,,,,,,,,,,
discuss,consensus,plan,consensus,coregulate,plan,consensus,discuss,adapt,cohesion,consensus,consensus,plan,plan,plan,,,,,,,,,,,
monitor,plan,plan,discuss,consensus,emotion,consensus,plan,emotion,,,,,,,,,,,,,,,,,
plan,discuss,discuss,consensus,emotion,plan,discuss,discuss,coregulate,consensus,plan,consensus,plan,,,,,,,,,,,,,
coregulate,discuss,discuss,coregulate,plan,plan,plan,emotion,cohesion,consensus,plan,plan,consensus,plan,coregulate,discuss,discuss,coregulate,plan,plan,plan,plan,monitor,,,
discuss,consensus,emotion,consensus,coregulate,cohesion,consensus,plan,plan,consensus,discuss,synthesis,adapt,discuss,adapt,,,,,,,,,,,
coregulate,discuss,consensus,plan,consensus,discuss,coregulate,,,,,,,,,,,,,,,,,,,
consensus,emotion,consensus,plan,consensus,plan,plan,emotion,plan,plan,consensus,plan,plan,monitor,consensus,plan,consensus,coregulate,discuss,,,,,,,
monitor,adapt,emotion,cohesion,monitor,consensus,coregulate,monitor,consensus,discuss,discuss,cohesion,monitor,plan,consensus,monitor,,,,,,,,,,
consensus,plan,consensus,plan,plan,consensus,plan,consensus,coregulate,discuss,adapt,cohesion,consensus,consensus,plan,consensus,plan,consensus,plan,emotion,,,,,,
discuss,emotion,cohesion,,,,,,,,,,,,,,,,,,,,,,,
consensus,coregulate,emotion,emotion,consensus,discuss,synthesis,,,,,,,,,,,,,,,,,,,
plan,emotion,,,,,,,,,,,,,,,,,,,,,,,,
discuss,cohesion,consensus,coregulate,discuss,emotion,cohesion,consensus,emotion,cohesion,coregulate,plan,plan,coregulate,emotion,cohesion,coregulate,discuss,emotion,consensus,,,,,,
plan,consensus,plan,discuss,synthesis,cohesion,consensus,emotion,consensus,discuss,consensus,plan,,,,,,,,,,,,,,
monitor,discuss,emotion,consensus,coregulate,consensus,discuss,consensus,plan,plan,plan,coregulate,,,,,,,,,,,,,,
cohesion,coregulate,coregulate,plan,monitor,coregulate,consensus,coregulate,plan,consensus,emotion,emotion,consensus,plan,discuss,consensus,plan,emotion,cohesion,coregulate,plan,plan,monitor,,,
plan,consensus,emotion,monitor,plan,plan,emotion,consensus,discuss,consensus,plan,plan,consensus,discuss,synthesis,consensus,coregulate,discuss,discuss,synthesis,adapt,,,,,
consensus,plan,discuss,emotion,,,,,,,,,,,,,,,,,,,,,,
emotion,cohesion,coregulate,discuss,emotion,consensus,coregulate,emotion,consensus,plan,coregulate,discuss,discuss,synthesis,consensus,plan,plan,plan,plan,plan,consensus,coregulate,plan,consensus,plan,emotion
consensus,plan,consensus,consensus,plan,plan,discuss,coregulate,plan,discuss,synthesis,consensus,plan,plan,discuss,discuss,synthesis,consensus,discuss,synthesis,monitor,cohesion,consensus,plan,,
emotion,consensus,discuss,coregulate,discuss,adapt,discuss,adapt,consensus,emotion,monitor,discuss,consensus,plan,emotion,coregulate,consensus,consensus,plan,emotion,consensus,,,,,
consensus,plan,plan,plan,monitor,discuss,consensus,discuss,consensus,monitor,discuss,emotion,emotion,consensus,plan,plan,consensus,coregulate,coregulate,synthesis,consensus,plan,plan,plan,,
monitor,consensus,monitor,discuss,emotion,plan,discuss,synthesis,plan,consensus,plan,consensus,coregulate,,,,,,,,,,,,,
monitor,coregulate,monitor,,,,,,,,,,,,,,,,,,,,,,,
monitor,discuss,discuss,synthesis,consensus,discuss,discuss,consensus,cohesion,consensus,coregulate,discuss,discuss,consensus,plan,plan,plan,plan,consensus,,,,,,,
consensus,discuss,consensus,emotion,consensus,discuss,discuss,synthesis,adapt,consensus,emotion,coregulate,plan,,,,,,,,,,,,,
monitor,discuss,discuss,discuss,adapt,consensus,coregulate,discuss,,,,,,,,,,,,,,,,,,
discuss,synthesis,consensus,consensus,plan,plan,consensus,discuss,,,,,,,,,,,,,,,,,,
coregulate,discuss,discuss,emotion,monitor,discuss,synthesis,consensus,monitor,monitor,discuss,consensus,plan,consensus,coregulate,plan,,,,,,,,,,
synthesis,adapt,consensus,plan,plan,consensus,coregulate,consensus,coregulate,,,,,,,,,,,,,,,,,
emotion,plan,plan,,,,,,,,,,,,,,,,,,,,,,,
consensus,plan,consensus,plan,plan,plan,consensus,discuss,discuss,discuss,synthesis,discuss,consensus,coregulate,synthesis,consensus,plan,plan,plan,,,,,,,
consensus,plan,plan,plan,,,,,,,,,,,,,,,,,,,,,,
consensus,coregulate,plan,monitor,consensus,plan,plan,plan,plan,discuss,consensus,coregulate,consensus,coregulate,discuss,synthesis,adapt,,,,,,,,,
plan,plan,plan,consensus,discuss,,,,,,,,,,,,,,,,,,,,,
discuss,synthesis,coregulate,cohesion,emotion,consensus,coregulate,discuss,synthesis,cohesion,consensus,coregulate,,,,,,,,,,,,,,
discuss,adapt,emotion,emotion,consensus,plan,consensus,plan,emotion,plan,monitor,coregulate,plan,monitor,discuss,coregulate,discuss,consensus,plan,emotion,monitor,discuss,consensus,,,
monitor,discuss,adapt,cohesion,consensus,emotion,consensus,plan,plan,monitor,,,,,,,,,,,,,,,,
monitor,consensus,plan,emotion,discuss,,,,,,,,,,,,,,,,,,,,,
monitor,discuss,discuss,consensus,plan,plan,consensus,consensus,consensus,plan,plan,consensus,monitor,,,,,,,,,,,,,
adapt,emotion,consensus,cohesion,emotion,plan,discuss,adapt,cohesion,emotion,consensus,plan,,,,,,,,,,,,,,
plan,consensus,plan,plan,coregulate,discuss,synthesis,cohesion,consensus,plan,consensus,plan,plan,plan,monitor,consensus,coregulate,plan,plan,plan,consensus,coregulate,coregulate,discuss,,
discuss,adapt,cohesion,consensus,,,,,,,,,,,,,,,,,,,,,,
discuss,synthesis,adapt,discuss,synthesis,consensus,plan,emotion,cohesion,consensus,coregulate,consensus,coregulate,discuss,discuss,consensus,coregulate,emotion,discuss,consensus,discuss,emotion,consensus,,,
discuss,coregulate,discuss,emotion,consensus,plan,discuss,consensus,monitor,,,,,,,,,,,,,,,,,
plan,plan,discuss,emotion,consensus,plan,plan,consensus,discuss,synthesis,consensus,coregulate,discuss,consensus,plan,plan,plan,plan,consensus,coregulate,discuss,,,,,
plan,consensus,plan,emotion,consensus,consensus,plan,emotion,discuss,,,,,,,,,,,,,,,,,
emotion,cohesion,discuss,adapt,emotion,plan,consensus,coregulate,emotion,,,,,,,,,,,,,,,,,
